zipCode,numOfReturns,avgAGI,crimesReported,culturalSpaces,numOfPets
98101,7890,136.1487959,5361,55,12
98102,15880,94.8156801,1752,20,29
98103,28150,85.42767318,4053,77,84
98104,6580,98.65607903,3513,87,9
98105,15400,108.5212338,2958,64,47
98106,12500,50.07752,670,8,27
98107,14480,77.42486188,3101,35,60
98108,11780,50.01273345,1569,36,25
98109,15300,108.8438562,2681,48,37
98112,12130,202.574526,2140,16,30
98115,25370,100.7467087,2401,27,82
98116,13660,98.37759883,1056,20,44
98117,17560,93.9535877,3184,11,85
98118,22620,56.95778073,1624,35,36
98119,12450,111.5524498,1654,18,28
98121,8760,128.0871005,2179,38,23
98122,19510,77.25699641,1712,88,58
98125,20000,64.3982,3184,4,54
98126,10950,70.93753425,1194,9,35
98133,24090,55.06720631,1058,4,47
98134,590,124.1677966,674,23,1
98136,8460,104.9786052,1396,7,20
98144,15060,76.60438247,2369,26,38
98146,13060,57.92258806,1041,4,7
98199,11030,130.7781505,680,8,42
